Time[s],Packet ID,Address,Read/Write,Data
12.1107790950,1343,0x6C,W,0x5B 0x52 0x00
12.1109668350,1344,0x6C,W,0x5B 0x53 0xBF
12.1111578500,1345,0x6C,W,0x5B 0x54 0x0F
12.1113474100,1346,0x6C,W,0x5B 0x55 0x62
12.1115340600,1347,0x6C,W,0x2D 0x2B 0x07 0x1B 0x16 0x95 0xB7
12.1119208200,1348,0x6C,W,0x5B 0x58 0x00
12.1121144150,1349,0x6C,W,0x5B 0x59 0x00
12.1123079050,1350,0x6C,W,0x5B 0x5A 0x01
12.1124949800,1351,0x6C,W,0x2C 0x96 0x92
12.1126846300,1352,0x6C,W,0x5B 0x5C 0x0F
12.1128810000,1353,0x6C,W,0x5B 0x5D 0xB8
12.1130699950,1354,0x6C,W,0x5B 0x5E 0x00
12.1132677450,1355,0x6C,W,0x5B 0x5F 0x05
12.1134599600,1356,0x6C,W,0x5B 0x60 0x0F
12.1136476900,1357,0x6C,W,0x5B 0x61 0xB9
12.1138399950,1358,0x6C,W,0x2D 0x31 0x00
12.1140273000,1359,0x6C,W,0x5B 0x63 0x42
12.1142156600,1360,0x6C,W,0x2D 0x32 0x01
12.1144103300,1361,0x6C,W,0x5B 0x65 0x9C
12.1145973000,1362,0x6C,W,0x5B 0x66 0x0E
12.1147853600,1363,0x6C,W,0x5B 0x67 0xA2
12.1149823550,1364,0x6C,W,0x5B 0x68 0x0F
12.1151745700,1365,0x6C,W,0x5B 0x69 0x38
12.1153620700,1366,0x6C,W,0x5B 0x6A 0x00
12.1155569300,1367,0x6C,W,0x4D 0x9A 0x90
12.1157441500,1368,0x6E,W,0x2D 0x36 0x00
12.1159357050,1369,0x6C,W,0x5B 0x6D 0x1A
12.1161301550,1370,0x6C,W,0x5B 0x6E 0x0F
12.1163171200,1371,0x6C,W,0x5B 0x6F 0xA6 0x36 0x2D 0x38 0x00
12.1166996300,1372,0x6C,W,0x5B 0x71 0x3A
12.1168867150,1373,0x6C,W,0x5B 0x72 0x0F
12.1170748650,1374,0x6C,W,0x5B 0x73 0x70
12.1172677100,1375,0x6C,W,0x5B 0x74 0x01
12.1174562950,1376,0x6C,W,0x5B 0x75 0x57
12.1176507300,1377,0x6C,W,0xFF 0xFF 0xFF
12.1178572400,1378,0x6C,W,0x01 0x00 0x01
12.4711100550,1379,0x52,W,0x04 0xA0 0x08
12.4713037800,1380,0x52,W,0x04 0xAF 0x9F
12.4714954450,1381,0x52,W,0x03 0x10 0x83
12.4716825200,1382,0x52,W,0x03 0x11 0x25
12.4718732400,1383,0x52,W,0x03 0x47 0x25
12.4720603400,1384,0x52,W,0x03 0x7D 0x25
12.4722505900,1385,0x52,W,0x03 0xB4 0x25
12.4725076250,1386,0xC0,W
12.4725807250,1387,0xC0,W
12.4730024700,1388,0xC2,W
12.4730671050,1389,0xC2,W
12.4732379800,1390,0xC4,W
12.4732998450,1391,0xC4,W
12.4735206400,1392,0xC6,W,0x02 0xD8 0x05
